No voie,B/T/Q,Type de voie,Voie,idVoie
34.0,,RUE,DES ECOLES,136_V
183.0,,RUE,DU VIEUX BOURG,137_V
54.0,B,RUE,ARISTIDE BRIAND,138_V
99.0,,RUE,DE L AMITIE,139_V
16.0,,RUE,DES HAUTAINS,140_V
5245.0,,,LES MARS,141_V
17.0,,AV,DES ALPES,142_V
35.0,,RUE,DES PRELES,143_V
78.0,,AV,DU GEN SARRAIL,144_V
22.0,,RUE,DE L AVENIR,145_V
7.0,,RUE,TURENNE,146_V
86.0,,RUE,GUSTAVE EIFFEL,147_V
16.0,,AV,DU JURA,148_V
6.0,,RUE,GEORGES MARIN,149_V
346.0,,RUE,DE PRE BAILLY,150_V
195.0,,IMP,DU SAUGY,151_V
348.0,,RUE,DE PRE BAILLY,152_V
72.0,,CHE,DES COLLINES,153_V
86.0,,RUE,DE MEYRIN,154_V
181.0,,RUE,PARC JEAN MONNET,155_V
28.0,,CHE,DU PEUDEX,156_V
62.0,,CHE,DU PONT DE GREMAZ,157_V
1.0,,ALL,ALBERT CAMUS,158_V
13.0,,PL,DES FOURS,159_V
4.0,,CHE,DU MARAIS,160_V
67.0,,RTE,DE GENEVE,161_V
644.0,,RUE,D ARBERE,162_V
67.0,,RTE,DE CHAVORNOD,163_V
96.0,,RUE,DU JURA,164_V
152.0,,GR,GRANDE RUE,165_V
170.0,,RUE,DES TERREAUX,166_V
399.0,,RUE,DU COTEILLON,167_V
780.0,,RUE,DE LA REPUBLIQUE,168_V
71.0,,CHE,DE LA PRALAY,169_V
46.0,,AV,DES NATIONS,170_V
13.0,,RUE,DE LAYE,171_V
151.0,,RTE,DE BELLEVILLE,172_V
9.0,,RUE,NEUVE,173_V
768.0,,RUE,EDOUARD HERRIOT,174_V
172.0,,RUE,HECTOR BERLIOZ,175_V
2.0,,RUE,DE LYON,176_V
1172.0,,RTE,DE GENEVE,177_V
62.0,,CHE,DU BONATIER,178_V
40.0,,MTE,DES CANNES,179_V
12.0,,RUE,LUCIEN QUITTELIER,180_V
27.0,,RUE,FERNAND THUILLART,181_V
1.0,,RUE,CONDORCET,182_V
15.0,,RUE,DU REMPART SAINT REMY,183_V
11.0,,RUE,BONNOT,184_V
2.0,,RUE,MAZIN,185_V
13.0,,RUE,PAUL DOUMER,186_V
20.0,G,RUE,DES OEUVRES DE CHINE,187_V
13.0,,RUE,VINCHON,188_V
15.0,,RUE,DU CHANGE,189_V
27.0,,RUE,CARLIER HENNECART,190_V
9001.0,,RUE,JEAN DE LA FONTAINE,191_V
27.0,,RUE,JEAN RACINE,192_V
10.0,,PL,DU MARCHE,193_V
32.0,,RUE,DE LA LINOTTE,194_V
1.0,,RLE,DES NEUFLIERS,195_V
30.0,,RUE,DE L EGLISE,196_V
1.0,,PL,BOUZIER,197_V
30.0,,RUE,SERURIER,198_V
16.0,,RUE,DE MONTEVIDEO,199_V
108.0,,BD,GAMBETTA,200_V
9003.0,,RUE,ROBERT GODARD,201_V
4.0,,RUE,DE LA CONGREGATION,202_V
21.0,,RUE,AMPERE,203_V
3.0,,AV,CARNOT,204_V
2.0,,RUE,DE LA SELLERIE,205_V
1.0,,RUE,D ISLE,206_V
23.0,,RUE,DU GOUVERNEMENT,207_V
15.0,,RUE,VARLET,208_V
2.0,,PL,FERNAND MARQUIGNY,209_V
36.0,,RUE,DU MOULIN BOTTE,210_V
12.0,,RUE,DES PAVEURS,211_V
2.0,,BD,JEANNE D ARC,212_V
2.0,B,RUE,JEAN DELAPLACE,213_V
1.0,,RUE,DE LA SURCHETTE,214_V
18.0,,RUE,QUINQUET,215_V
1.0,,RUE,DU PONT DE LA TOURNELLE,216_V
7.0,,RUE,DE FONTENOY,217_V
,,,LA FOSSE SALMON,218_V
19.0,,RUE,SAINT DENIS,219_V
3.0,,RUE,ROGER SALENGRO,220_V
18.0,,RUE,DU CHAMP BOUILLANT,221_V
3.0,,RUE,DE LA RESISTANCE,222_V
14.0,,RUE,PORTE CROUY,223_V
2.0,,CHT,DE LA QUINCY,224_V
8.0,,PTR,PETITE RUE SAINT VINCENT,225_V
2.0,,RUE,DE BAPAUME,226_V
10.0,,PL,DE LAON,227_V
1.0,B,RUE,DES GRAVIERS,228_V
15.0,B,RUE,DU CHAMP BOUILLANT,229_V
20.0,,RUE,NOTRE DAME,230_V
17.0,,RUE,ALEXANDRE DUMAS,231_V
5.0,A,RUE,FERNAND BAZIN,232_V
5.0,,PL,DU DOCTEUR MOUFLIER,233_V
2.0,B,BD,EDOUARD BRANLY,234_V
4.0,,PL,DE LAON,235_V
16.0,,RUE,D OULCHY LE CHATEAU,236_V
12.0,,AV,THIERS,237_V
4.0,,RUE,JEAN MOULIN,238_V
3.0,B,RUE,PORTE CROUY,239_V
30.0,,AV,DU GENERAL DE GAULLE,240_V
9.0,,RUE,VICTOR HUGO,241_V
41.0,,RUE,DU GRAND MONTOIR,242_V
7.0,,RUE,DE PANLEU,243_V
5.0,D,RUE,FERNAND BAZIN,244_V
22.0,,BD,JEANNE D ARC,245_V
12.0,,AV,DE LA MARE AUX CANES,246_V
3.0,,PL,DE L HOTEL DE VILLE,247_V
50.0,,GR,GRANDE RUE,248_V
1.0,,RES,RENOIR,249_V
2.0,,RUE,PAUL CLAUDEL,250_V
22.0,,RUE,DE LA FRATERNITE,251_V
2.0,,RUE,DENAIN,252_V
14.0,,RUE,CHARLES PEGUY,253_V
4.0,,RES,PARC MONTFAULT,254_V
11.0,,RUE,DU VERT GALANT,255_V
16.0,,IMP,DU PRE DE MOLLES,256_V
84.0,,RTE,DE LYON,257_V
3.0,,RUE,JACQUES VINCENT,258_V
24.0,,RUE,GASPARD ROUX,259_V
1.0,B,AV,DU DRAPEAU,260_V
71.0,,RUE,JEAN JAURES,261_V
2.0,,RUE,MONTIGNAC,262_V
2.0,,RUE,DU 11 NOVEMBRE,263_V
10.0,,RUE,DUCHON,264_V
4.0,,RUE,HUBERT COLOMBIER,265_V
9003.0,,PL,DE L HORLOGE,266_V
7102.0,,PL,DE L ENGIEN,267_V
7003.0,,RES,LES MELEZES,268_V
9500.0,,TRA,DU CAMPING,269_V
1.0,,RUE,DES MONGES,270_V
7066.0,,,STATION DE SAINT JEAN,271_V
9002.0,,PL,DU DOCTEUR ROBERT,272_V
7192.0,,,LA CHAPELLE,273_V
,,PL,DES AIRES,274_V
7078.0,,RTE,DE MAZAGRAND,275_V
7037.0,,,LE VILLAGE,276_V
6.0,,RUE,GRANDE,277_V
7034.0,,,ADRECH DE CHAUVET,278_V
25.0,,AV,FRANCOIS CUZIN,279_V
20.0,,RUE,DU VALLON DE FARINE,280_V
7002.0,,,STATION DE SAINT JEAN,281_V
7042.0,,,LE VILLAGE,282_V
7398.0,,,PONT DE LABRAU OUEST,283_V
24.0,,LOT,LOTISSEMENT DU BERARD,284_V
7052.0,,RES,LES CHENEVRIERS,285_V
12.0,,CHE,DES ALPAGES,286_V
25.0,,RUE,PRINCIPALE,287_V
7300.0,,CHE,DES BEAUMES,288_V
39.0,,BD,VICTOR HUGO,289_V
9482.0,,RES,LE VALLON DES SOURCES,290_V
32.0,,BD,VICTOR HUGO,291_V
5081.0,,,LE SUPERSAUZE,292_V
26.0,,,LE PONT,293_V
7178.0,,,PONT DE LABRAU,294_V
2.0,B,IMP,DE CARUPE,295_V
7153.0,,,LES HAUTES PLAINES,296_V
5112.0,,RES,LES MARGUERITES,297_V
4.0,,PL,DE LA MAIRIE,298_V
5230.0,,,LE SUPERSAUZE,299_V
6.0,,,ANCIENNE RTE D FORCALQUIER,300_V
7096.0,,,BEAUDINE,301_V
3.0,,PL,DE LA REPUBLIQUE,302_V
53.0,,RUE,DELEUZE,303_V
7023.0,,,GRANDE MONTAGNE,304_V
7052.0,,,LES AUCHES,305_V
181.0,,ALL,DES AVETTES,306_V
5.0,,AV,MARCEL ANDRE,307_V
7218.0,,,LACHAUD ET CHAUVET,308_V
320.0,,AV,DU DCT BERNARD FOUSSIER,309_V
6.0,,RUE,ANDRE HONNORAT,310_V
155.0,,RUE,DOC CASIMIR CAIRE,311_V
5637.0,A,AV,DES THERMES,312_V
7054.0,,,LA CHAPELLE,313_V
3.0,,RUE,TANNERIE,314_V
118.0,,RUE,POTERIE,315_V
1.0,,REM,DES CORDELIERS,316_V
9002.0,D,,LES LAVANDES,317_V
,,RES,LES MARMOTTES BLEUES,318_V
5038.0,,,LE VILLAGE,319_V
9.0,,RUE,FONT CHAUDE,320_V
7089.0,,,SAINT PIERRE,321_V
5154.0,,RUE,DE LA FERRAILLE,322_V
7215.0,,,LA SESTRIERE,323_V
3.0,,TRA,DES EAUX CHAUDES,324_V
1.0,,RUE,JULES BOURDIN,325_V
14.0,,ALL,DE PROVENCE,326_V
5028.0,,CHE,DE STE ANNETTE,327_V
36.0,,AV,HENRI JAUBERT,328_V
117.0,,AV,DES THERMES,329_V
9001.0,,RES,JEANNE D ARC,330_V
20.0,,RUE,MARIUS DEBOUT,331_V
7224.0,,,LES HAUTES PLAINES,332_V
,,RES,PRA CHAUVET,333_V
7009.0,,,ADRECH DE CHAUVET,334_V
,,RES,LES MELEZES,335_V
7215.0,,,STATION DE SAINT JEAN,336_V
7113.0,,,LES SAGNES,337_V
7024.0,,,LES HAUTES PLAINES,338_V
7023.0,,,LES HAUTES PLAINES,339_V
3.0,,RUE,DU FRESQUIE,340_V
,,RES,LE CEZANNE,341_V
20.0,,ALL,DE PROVENCE,342_V
7102.0,,RTE,DU LAC,343_V
5038.0,,,LES VIEUX BAINS,344_V
29.0,,RUE,NATIONALE,345_V
,,RES,LE CHRISTIANA,346_V
5177.0,,RUE,GRANDE,347_V
9013.0,,BD,PAUL MARTIN NALIN,348_V
11.0,,RUE,DE L ANCIENNE MAIRIE,349_V
9001.0,,,LA COLETTE,350_V
7028.0,,,MAZAGRAND,351_V
8.0,,MTE,DU CHASTEL,352_V
5.0,B,AV,DES THERMES,353_V
,,RES,LA BERANGERE,354_V
5004.0,,AV,GEORGES DE SALVE,355_V
30.0,,AV,DES ARCADES,356_V
15.0,,CHE,DES AJONCS,357_V
40.0,,AV,JEAN MOULIN,358_V
4.0,,RUE,DES ALPES,359_V
42.0,,CHE,DES SALETTES,360_V
7091.0,,,CHANTEMERLE,361_V
